File,N,S,T,AIC-c,plain,+S,+MH,p,p_plain,p_s,p_MH,omega1_BUSTED,p1_BUSTED,omega2_BUSTED,p2_BUSTED,omega3_BUSTED,p3_BUSTED,omega1_S,p1_S,omega2_S,p2_S,omega3_S,p3_S,omega1_noS,p1_noS,omega2_noS,p2_noS,omega3_noS,p3_noS,omega1_MH,p1_MH,omega2_MH,p2_MH,omega3_MH,p3_MH,SRV_S,SRV_MH,delta,psi,S1,S2,S3,SP1,SP2,SP3,L1,L2,L3,EB
ENSG00000091482,24,88,0.86,2387.29775,34.38229,-4.37758,32.78285,0.50000,0.47237,0.50000,0.50000,0.04986,0.01406,0.10829,0.96994,2.47244,0.01599,0.00000,0.32199,0.19045,0.67801,1.00217,0.00000,0.08639,0.00000,0.12885,1.00000,1.00170,0.00000,0.11236,0.81218,0.18902,0.18782,1.00243,0.00000,1.26115,1.24862,0.00000,0.00000,169,3,1,0.0480114,0.000852273,0.000284091,0.05293,0.07071,0.14346,0
ENSG00000184602,24,88,1.33,2219.33721,41.99521,-2.51376,46.23935,0.50000,0.50000,0.50000,0.50000,0.01120,0.00000,0.01500,1.00000,1.00270,0.00000,0.00779,0.73051,0.02135,0.26949,1.11321,0.00000,0.01191,0.00000,0.01502,1.00000,1.00233,0.00000,0.00905,1.00000,0.29751,0.00000,12.80122,0.00000,0.71899,1.84305,0.00000,0.00000,206,2,0,0.0570953,0.000554324,0,0.07551,0.10554,0.00000,0
ENSG00000197889,24,88,0.68,2167.82233,1.70547,-4.26024,5.94339,0.50000,0.50000,0.50000,0.50000,0.08525,0.83201,0.12021,0.16799,1.13777,0.00000,0.06527,0.00000,0.07973,1.00000,1.12741,0.00000,0.08482,0.27207,0.09368,0.72793,1.00153,0.00000,0.00062,0.00000,0.07973,1.00000,2.61958,0.00000,0.86838,0.86858,0.00000,0.00000,137,4,0,0.0389205,0.00113636,0,0.03521,0.05809,0.00000,0
ENSG00000088986,24,89,0.85,2079.87647,-1.24090,-4.26127,3.00395,0.50000,0.50000,0.50000,0.50000,0.04288,0.00000,0.05280,1.00000,1.12219,0.00000,0.04895,1.00000,0.31252,0.00000,1.18378,0.00000,0.04397,0.00000,0.05278,1.00000,1.04923,0.00000,0.04889,0.25714,0.04896,0.74286,1.25640,0.00000,0.93285,0.93350,0.00000,0.00000,145,3,0,0.0387908,0.000802568,0,0.08879,0.32895,0.00000,0
ENSG00000100575,24,89,0.60,2090.00115,-0.42605,-1.79407,1.78032,0.50000,0.50000,0.49813,0.50000,0.04247,0.93990,0.19917,0.01922,1.00000,0.04088,0.05216,0.94645,0.05515,0.02809,1.07928,0.02546,0.00141,0.00000,0.07305,1.00000,1.12741,0.00000,0.05665,0.00000,0.06673,1.00000,1.07102,0.00000,0.69495,0.71051,0.17275,0.00000,122,4,0,0.0370483,0.0012147,0,0.03854,0.04783,0.00000,0
ENSG00000121083,24,89,0.36,1280.13400,19.99048,-3.98228,24.21446,0.11561,0.50000,0.13185,0.50000,0.00679,0.00559,0.00953,0.99441,1.15235,0.00000,0.00000,0.99768,0.00000,0.00174,363.53500,0.00059,0.00429,0.94453,0.08318,0.05491,1.81991,0.00055,0.00000,0.94258,0.00000,0.05685,337.30838,0.00057,1.85045,1.60810,0.00000,0.00000,51,0,0,0.0154874,0,0,0.02115,0.00000,0.00000,1
ENSG00000175334,24,89,0.79,2122.13141,-1.76929,-4.26084,2.47070,0.28698,0.33709,0.28704,0.33697,0.00000,0.93356,0.00000,0.06068,4.43532,0.00575,0.00000,0.93298,0.00000,0.06154,5.21162,0.00548,0.00000,0.34237,0.00000,0.65199,4.54344,0.00564,0.00000,0.98632,0.00000,0.00829,5.32531,0.00539,1.00676,1.00441,0.00000,0.00000,156,1,0,0.0427514,0.000274048,0,0.05095,0.05751,0.00000,6
ENSG00000126267,24,90,1.39,2979.15639,3.36345,-3.45670,10.89353,0.15791,0.03058,0.16849,0.50000,0.11541,0.81758,0.14064,0.18158,9999999171.59636,0.00084,0.11595,0.90641,0.13838,0.09157,18.71382,0.00202,0.10685,0.80114,0.16650,0.19886,1.00156,0.00000,0.12013,0.02094,0.12221,0.97832,291.85741,0.00074,0.55483,0.55286,0.00000,0.00000,205,6,1,0.0542328,0.0015873,0.00026455,0.05850,0.05780,0.08333,4
ENSG00000134809,24,90,0.82,2196.22640,-4.81037,-4.25171,-0.57668,0.50000,0.50000,0.50000,0.50000,0.00369,0.00000,0.01189,1.00000,1.02416,0.00000,0.00829,0.38008,0.01316,0.61992,1.05084,0.00000,0.00059,0.00000,0.01188,1.00000,1.12220,0.00000,0.01040,0.90611,0.01954,0.09389,1.10685,0.00000,0.58010,0.58283,0.00000,0.00000,173,1,0,0.0480556,0.000277778,0,0.04605,0.06072,0.00000,0
ENSG00000213190,24,90,0.89,2849.26155,20.13992,-4.25636,22.92665,0.50000,0.50000,0.50000,0.50000,0.03299,0.09771,0.12764,0.82265,1.00000,0.07963,0.18197,1.00000,0.18839,0.00000,1.89857,0.00000,0.00000,0.09655,0.19202,0.89522,1.00000,0.00823,0.17035,0.24530,0.18623,0.75470,1.00173,0.00000,0.79446,0.79424,0.00000,0.00000,195,4,1,0.0541667,0.00111111,0.000277778,0.04472,0.06386,0.06475,0
ENSG00000106355,24,91,0.76,2091.04066,-2.98375,-4.25927,1.25548,0.18730,0.20073,0.18726,0.20074,0.00000,0.99609,0.00000,0.00311,27.69518,0.00080,0.00000,0.13227,0.00000,0.86681,23.94450,0.00092,0.00000,0.85899,0.00000,0.14021,27.59780,0.00080,0.00000,0.93524,0.00000,0.06384,24.04211,0.00092,1.16800,1.17089,0.00000,0.00000,147,2,0,0.0384615,0.000523286,0,0.04695,0.10053,0.00000,1
ENSG00000130312,24,92,2.19,3403.04424,7.15444,-4.10649,11.40857,0.09655,0.02783,0.07422,0.10046,0.08134,0.89157,0.45844,0.10448,28.65346,0.00394,0.00000,0.36756,0.16338,0.62838,16.66746,0.00405,0.11411,0.99527,0.88261,0.00099,20.33806,0.00375,0.00000,0.34223,0.15724,0.65419,16.20279,0.00358,0.48643,0.48373,0.00000,0.17968,249,20,2,0.0629424,0.00505561,0.000505561,0.12128,0.16892,0.05123,5
ENSG00000147437,24,92,1.53,3937.92676,30.10920,-4.88473,34.41157,0.50000,0.50000,0.36844,0.50000,0.17515,0.74985,0.50517,0.08424,1.00000,0.16591,0.30803,0.00076,0.30864,0.99855,27.34132,0.00069,0.21898,0.79947,0.34495,0.09069,1.21150,0.10985,0.00058,0.00000,0.31352,1.00000,1.12104,0.00000,0.68919,0.68159,0.00000,0.00000,305,16,1,0.0736715,0.00386473,0.000241546,0.07344,0.09619,0.14822,0
ENSG00000163866,24,92,0.73,2302.85362,-1.92030,-4.24832,2.30752,0.50000,0.50000,0.50000,0.50000,0.03238,0.18402,0.04660,0.81598,1.12182,0.00000,0.01948,0.00000,0.04251,1.00000,1.16014,0.00000,0.04397,1.00000,0.48094,0.00000,1.12306,0.00000,0.00544,0.00000,0.04250,1.00000,1.17669,0.00000,0.61266,0.61269,0.00000,0.00000,159,3,0,0.0432065,0.000815217,0,0.04759,0.08589,0.00000,0
ENSG00000182004,24,92,0.49,1954.27342,-3.11855,-4.92740,0.00548,0.50000,0.49248,0.27764,0.50000,0.00913,0.67962,0.06666,0.31629,3.05936,0.00409,0.02557,0.74285,0.05038,0.25674,344.94170,0.00041,0.00496,0.00000,0.03403,1.00000,1.00207,0.00000,0.01421,0.00000,0.03367,1.00000,1.00185,0.00000,0.78148,0.72013,0.10437,0.00000,115,2,0,0.0328947,0.000572082,0,0.02534,0.03323,0.00000,0
ENSG00000197756,24,92,1.00,2862.37828,-5.57326,-0.92715,-6.34909,0.50000,0.50000,0.50000,0.50000,0.05059,0.35008,0.07109,0.63915,1.00000,0.01076,0.00000,0.48290,0.14152,0.51710,1.00233,0.00000,0.02360,0.00000,0.06264,1.00000,1.10881,0.00000,0.06350,1.00000,0.17580,0.00000,1.12634,0.00000,0.38587,0.36196,0.22937,0.00000,215,12,0,0.059922,0.00334448,0,0.05869,0.08944,0.00000,0
ENSG00000142669,24,93,0.55,1966.35402,-11.34820,-4.23423,-7.13380,0.50000,0.50000,0.50000,0.50000,0.01989,1.00000,0.04674,0.00000,1.12220,0.00000,0.00120,0.00000,0.01814,1.00000,1.12596,0.00000,0.00003,0.00000,0.01988,1.00000,1.00279,0.00000,0.01295,0.03107,0.01834,0.96893,1.12124,0.00000,0.41284,0.41251,0.00000,0.00000,126,1,0,0.0366173,0.000290613,0,0.03787,0.07647,0.00000,0
ENSG00000188612,24,95,0.46,2039.42226,-11.89765,-3.46035,-8.76489,0.50000,0.50000,0.50000,0.50000,0.22322,0.92767,0.47420,0.00397,1.00000,0.06836,0.01795,0.00000,0.24812,0.96572,1.00000,0.03428,0.25942,1.00000,0.38354,0.00000,1.00261,0.00000,0.08786,0.00000,0.25958,1.00000,1.26837,0.00000,0.35831,0.34608,0.06193,0.00000,103,8,0,0.0349745,0.00271647,0,0.04693,0.09589,0.00000,0
ENSG00000128534,24,96,0.67,2400.52946,-11.96363,-4.25286,-7.72460,0.50000,0.50000,0.50000,0.50000,0.00719,0.98323,0.10466,0.01677,1.00428,0.00000,0.00859,1.00000,0.03859,0.00000,1.00233,0.00000,0.00592,0.97207,0.11161,0.02793,1.00145,0.00000,0.00643,0.42680,0.01022,0.57320,1.00233,0.00000,0.37156,0.37110,0.00000,0.00000,174,0,0,0.0411932,0,0,0.03340,0.00000,0.00000,0
ENSG00000143977,24,96,0.99,2404.33375,-5.92142,-3.45408,-1.71275,0.38700,0.00161,0.13107,0.12043,0.00000,0.79487,0.00000,0.14861,5.34645,0.05652,0.00000,0.89351,0.00000,0.03411,3.97740,0.07239,0.00000,0.76358,0.00000,0.17945,5.25800,0.05697,0.11620,0.95761,0.11660,0.03327,9.35492,0.00912,0.50251,1.14977,0.25950,0.00000,127,14,2,0.0339209,0.00373932,0.000534188,0.05012,0.05303,0.04978,3
ENSG00000111850,24,97,1.10,3370.54191,9.97376,-3.98130,13.13177,0.50000,0.50000,0.50000,0.50000,0.11263,0.73149,0.27807,0.26200,1.00000,0.00650,0.06682,0.00000,0.15468,1.00000,1.16765,0.00000,0.15486,1.00000,0.18477,0.00000,1.00564,0.00000,0.14465,0.62535,0.16436,0.37465,1.00147,0.00000,0.57818,0.57792,0.04446,0.00000,237,15,0,0.0581738,0.00368189,0,0.05665,0.08401,0.00000,0
ENSG00000122585,24,97,0.78,2925.45025,-9.58759,-6.98788,-2.42266,0.50000,0.00193,0.00325,0.50000,0.06962,0.91303,0.07067,0.08407,37.92891,0.00290,0.06573,0.85084,0.06590,0.14613,49.93681,0.00302,0.00445,0.00000,0.07767,1.00000,1.01539,0.00000,0.03376,0.00000,0.07471,1.00000,1.12402,0.00000,0.49607,0.47986,0.26879,0.00000,184,13,0,0.0451645,0.00319097,0,0.04015,0.05877,0.00000,0
ENSG00000126953,24,97,0.63,1989.88102,3.90091,-4.23127,8.11496,0.04309,0.03091,0.04309,0.03115,0.00876,0.97937,0.05518,0.01548,18.68188,0.00515,0.00588,0.98356,0.00591,0.00843,11.90069,0.00801,0.00764,0.95511,0.05424,0.03973,18.62254,0.00516,0.00378,0.10666,0.00612,0.88531,11.91751,0.00802,0.76200,0.76277,0.00000,0.00000,118,1,0,0.0311922,0.00026434,0,0.04711,0.01422,0.00000,8
ENSG00000150779,24,97,0.90,2457.12287,-9.24803,-4.17012,-5.05269,0.48378,0.49997,0.50000,0.49095,0.01387,0.96974,0.22445,0.01139,1.00635,0.01886,0.00974,0.86619,0.05553,0.11450,1.00511,0.01931,0.00491,0.83025,0.11458,0.16277,1.85521,0.00698,0.02057,0.99265,0.97738,0.00199,2.50507,0.00536,0.49670,0.49658,0.00000,0.00000,176,2,0,0.0442545,0.000502892,0,0.04830,0.07516,0.00000,1
